Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
The Shaukeens,Normal,Yes,No,comedy,No,No,No,Akshay Kumar,Abhishek Sharma,Honey Singh,1800,410000000,272025000,0.6634756098,2014,124,4.9,2906,Abhishek Sharma,Akshay Kumar,Lisa Haydon,Anupam Kher
Risk,Normal,No,No,thriller,No,No,No,Randeep Hooda,Vishram Sawant,Bappi - Tutal,300,60000000,39800000,0.6633333333,2007,155,6.6,559,Vishram Sawant,Vinod Khanna,Randeep Hooda,Tanushree Dutta
Jagga Jasoos,Normal,No,No,drama,No,No,No,Ranbir Kapoor,Anurag Basu,Pritam,1750,1310000000,868572500,0.6630324427,2017,161,6.5,9428,Anurag Basu,Ranbir Kapoor,Katrina Kaif,Saswata Chatterjee
London Dreams,Holiday,No,No,drama,No,No,No,Salman Khan,Vipul Amrutlal Shah,Shankar - Ehsaan - Loy,1450,630000000,413180000,0.6558412698,2009,146,5.3,4375,Vipul Amrutlal Shah,Salman Khan,Ajay Devgn,Om Puri
Yuvvraaj,Holiday,No,No,drama,No,No,No,Salman Khan,Subhash Ghai,A.R. Rehman,1100,480000000,312200000,0.6504166667,2008,151,4.1,4147,Subhash Ghai,Salman Khan,Anil Kapoor,Zayed Khan
My Wife's Murder,Holiday,No,No,thriller,No,Yes,No,Anil Kapoor,Jijy Philip,Amar Mohile,100,47500000,30822500,0.6488947368,2005,103,6.1,890,Jijy Philip,Anil Kapoor,Suchitra Krishnamoorthi,Nandana Sen
Veerappan,Normal,No,No,drama,Yes,No,No,Sandeep Bharadwaj,Ram Gopal Verma,Jeet Ganguly,1200,140000000,90300000,0.645,2016,125,5.3,711,Ram Gopal Varma,Sachiin Joshi,Sandeep Bharadwaj,Usha Jadhav
Ungli,Normal,No,No,drama,No,No,No,Emraan Hashmi,Renzil D'Silva,Gulraj Singh,1800,390000000,249657500,0.6401474359,2014,114,5.7,3663,Renzil D'Silva,Randeep Hooda,Emraan Hashmi,Shraddha Kapoor
Sixteen,Normal,No,No,drama,Yes,Yes,Yes,Izabelle Leite,Raj Purohit,Adam Avil - Eddie Avil,300,27500000,17600000,0.64,2013,138,6.3,1680,Raj Purohit,Wamiqa Gabbi,Izabelle Leite,Mehak Manwani
Pyaar Impossible!,Normal,No,No,rom__com,No,No,No,Priyanka Chopra,Jugal Hansraj,Salim - Sulaiman,425,140000000,89545000,0.6396071429,2010,140,4.6,3023,Jugal Hansraj,Priyanka Chopra Jonas,Anupam Kher,Uday Chopra
Phas Gaye Re Obama,Normal,No,No,comedy,No,Yes,Yes,Rajat Kapoor,Subhash Kapoor,Manish Tipu,200,62500000,39600000,0.6336,2010,108,7.5,5284,Subhash Kapoor,Rajat Kapoor,Neha Dhupia,Sanjay Mishra
Poster Boys,Normal,No,No,comedy,No,Yes,Yes,Sunny Deol,Shreyas Talpade,Tanishk,1300,270000000,170881250,0.6328935185,2017,128,5.4,1446,Shreyas Talpade,Sunny Deol,Bobby Deol,Shreyas Talpade
Tutak Tutak Tutiya,Holiday,No,No,comedy,No,Yes,No,Prabhu Deva,A.L. Vijay,Sajid - Wajid,875,110000000,69405000,0.6309545455,2016,138,5.5,744,A.L. Vijay,Sonu Sood,Rajiv Thakur,Rj Ajay
Calendar Girls,Holiday,No,No,drama,Yes,No,Yes,Akanksha Puri,Madhur Bhandarkar,Amal Malik,850,130000000,81900000,0.63,2015,131,4.2,862,Madhur Bhandarkar,Akanksha Puri,Avani Modi,Kyra Dutt
Phobia,Normal,No,No,horror,No,No,No,Radhika Apte,Pawan Kirpalani,Daniel B. George,625,85000000,52900000,0.6223529412,2016,112,6.9,2791,Pawan Kripalani,Radhika Apte,Amrita Bagchi,Nivedita Bhattacharya
Jail,Normal,No,No,drama,No,No,Yes,Neil Nitin Mukesh,Madhur Bhandarkar,Toshi - Sharib,575,140000000,86850000,0.6203571429,2009,131,6.2,1242,Madhur Bhandarkar,Manoj Bajpayee,Atul Kulkarni,Neil Nitin Mukesh
Darwaza Bandh Rakho,Normal,No,No,comedy,No,No,No,Aftab Shivdasani,J.D. Chakravarthi,Nitin Raikwar,175,37500000,23200000,0.6186666667,2006,106,5.3,337,J.D. Chakravarthi,Ishrat Ali,Abhay Bhargava,Snehal Dabi
Yehi Hai High Society,Holiday,No,No,thriller,No,No,No,Aaryan,Ravi Sinha,S. Paul,20,6500000,4000000,0.6153846154,2005,132,4.8,14,Ravi Sinha,Aaryan,Abhay Bhargava,Dinesh Hingoo
Tum Mile,Normal,No,No,love_story,No,No,No,Emraan Hashmi,Kunal Deshmukh,Pritam,675,220000000,134600000,0.6118181818,2009,140,5,1530,Kunal Deshmukh,Emraan Hashmi,Soha Ali Khan,Prerna Chawla
Ekk Deewana Tha,Holiday,Yes,No,love_story,No,No,No,Prateik Babbar,Gautham Menon,A.R. Rehman,600,140000000,85557500,0.611125,2012,136,5.9,2973,Gautham Vasudev Menon,Prateik,Amy Jackson,Sachin Khedekar
Aa Dekhen Zara,Holiday,No,No,thriller,No,Yes,No,Neil Nitin Mukesh,Jehangir Surti,Pritam,450,170000000,103835000,0.6107941176,2009,117,5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Ram Gopal Varma Ki Aag,Normal,Yes,No,action,No,No,Yes,Amitabh Bachchan,Ram Gopal Verma,Prasanna Shekhar,875,210000000,127300000,0.6061904762,2007,171,1.7,6655,Ram Gopal Varma,Amitabh Bachchan,Mohanlal,Ajay Devgn
Lucknow Central,Normal,No,No,drama,No,Yes,No,Farhan Akhtar,Ranjit Tiwari,Rochak Kohli,1250,300000000,179356250,0.5978541667,2017,133,6.2,2690,Ranjit Tewari,Farhan Akhtar,Diana Penty,Inaamulhaq
Department,Normal,No,No,action,No,No,Yes,Sanjay Dutt,Ram Gopal Verma,Vikram Negi,1500,320000000,190550000,0.59546875,2012,141,3.1,965,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu
Gulaal,Normal,No,No,thriller,No,No,Yes,Kay Kay Menon,Anurag Kashyap,Piyush Mishra,425,100000000,58900000,0.589,2009,140,8.1,14239,Anurag Kashyap,Kay Kay Menon,Raj Singh Chaudhary,Raja Chaudhary
Ahista Ahista,Holiday,No,No,love_story,No,Yes,No,Abhay Deol,Shivam Nair,Himesh Reshammiya,200,40000000,23100000,0.5775,2006,122,7,1491,Shivam Nair,Abhay Deol,Soha Ali Khan,Shayan Munshi
Humko Tumse Pyaar Hai,Holiday,No,No,love_story,No,No,No,Bobby Deol,Bunty Soorma,Anand Raj Anand,140,75000000,43280000,0.5770666667,2006,128,4.8,552,Bunty Soorma,Arjun Rampal,Ameesha Patel,Bobby Deol
Beehad - The Ravine,Holiday,No,No,action,No,No,No,Rajesh Tiwari,Krishna Mishra,Ravindra Jain,150,20000000,11500000,0.575,2013,125,5.6,10,Krishna Mishra,Pawan Rajput,Satyajeet Rajput,Vikas Shrivastav
Gulaab Gang,Normal,No,No,drama,No,Yes,Yes,Madhuri Dixit,Soumik Sen,Soumik Sen,1700,290000000,165890000,0.5720344828,2014,139,6.1,2078,Soumik Sen,Madhuri Dixit,Juhi Chawla,Divya Jagdale
Shiva,Normal,No,No,action,Yes,No,No,Mohit Ahlawat,Ram Gopal Verma,Ilaiyaraja,225,60000000,34300000,0.5716666667,2006,160,3.9,330,Ram Gopal Varma,Mohit Ahlawat,Priyanka Kothari,Vinod Jaywant
Sarkar 3,Normal,No,Yes,action,No,No,Yes,Amitabh Bachchan,Ram Gopal Verma,Ram Shankar,1450,360000000,205380000,0.5705,2017,130,4.9,1905,Ram Gopal Varma,Manoj Bajpayee,Amitabh Bachchan,Yami Gautam
Traffic,Holiday,Yes,No,drama,No,Yes,No,Manoj Bajpai,Rajesh Pillai,Mithoon,500,90000000,51267500,0.5696388889,2016,104,6.7,2478,Rajesh Pillai,Manoj Bajpayee,Jimmy Sheirgill,Divya Dutta
Teraa Surroor,Normal,No,Yes,thriller,No,No,No,Himesh Reshammiya,Shawn Arranha,Himesh Reshammiya,1150,150000000,85400000,0.5693333333,2016,106,2.6,840,Shawn Arranha,Himesh Reshammiya,Farah Karimaee,Naseeruddin Shah
Waiting,Normal,No,No,drama,No,No,No,Naseeruddin Shah,Anu Menon,Mikey McCleary,275,65000000,37000000,0.5692307692,2015,92,7.2,1699,Anu Menon,Naseeruddin Shah,Kalki Koechlin,Jennifer Antony
Chance Pe Dance,Normal,No,No,rom__com,No,No,No,Shahid Kapoor,Ken Ghosh,Adnan Sami,800,290000000,163027500,0.5621637931,2010,122,4.7,2805,Ken Ghosh,Shahid Kapoor,Genelia D'Souza,Mohnish Bahl
Bajatey Raho,Normal,No,No,comedy,No,No,No,Tusshar Kapoor,Shashant Shah,Jaidev Kumar,875,150000000,84300000,0.562,2013,110,5.3,729,Shashant Shah,Tusshar Kapoor,Vinay Pathak,Ranvir Shorey
Fitoor,Holiday,No,No,drama,No,No,No,Aditya Roy Kapoor,Abhishek Kapoor,Amit Trivedi,1500,710000000,397825000,0.5603169014,2016,131,5.4,4526,Abhishek Kapoor,Aditya Roy Kapoor,Katrina Kaif,Tabu
Nasha,Normal,No,No,drama,Yes,No,No,Poonam Pandey,Amit Saxena,Sangeet - Siddharth,1100,80000000,43100000,0.53875,2013,122,3.2,1214,Amit Saxena,Poonam Pandey,Shivam Patil,Vishal Bhonsle
Khoya Khoya Chand,Normal,No,No,drama,No,No,No,Shiney Ahuja,Sudhir Mishra,Shantanu Moitra,150,55000000,29467250,0.5357681818,2007,131,6.3,527,Sudhir Mishra,Shiney Ahuja,Soha Ali Khan,Rajat Kapoor
Chaar Din Ki Chandni,Normal,No,No,comedy,No,No,No,Tusshar Kapoor,Samir Karnik,Sandesh Shandilya,725,125000000,66200000,0.5296,2012,131,4.1,393,Samir Karnik,Tusshar Kapoor,Kulraj Randhawa,Anupam Kher
Dil Kabaddi,Normal,No,No,comedy,No,Yes,Yes,Rahul Khanna,Anil Senior,Sachin Gupta,325,100000000,52700000,0.527,2008,120,5.7,653,Anil Senior,Irrfan Khan,Rahul Bose,Rahul Khanna
Ab Tak Chhappan 2,Normal,No,Yes,drama,No,Yes,No,Nana Patekar,Aejaz Gulab,Sandeep Chowta,1450,180000000,93600000,0.52,2015,106,5.8,1344,Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag
Great Grand Masti,Normal,No,Yes,comedy,No,No,No,Riteish Deshmukh,Indra Kumar,Sanjeev - Darshan,1700,390000000,202262500,0.5186217949,2016,134,3.6,2393,Indra Kumar,Urvashi Rautela,Riteish Deshmukh,Vivek Oberoi
Aakrosh,Holiday,No,No,thriller,No,No,No,Ajay Devgn,Priyadarshan,Pritam,1200,380000000,194030000,0.5106052632,2010,115,7,3464,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu
Sehar,Normal,No,No,drama,No,Yes,Yes,Arshad Warsi,Kabeer Kaushik,Daniel B. George,60,40000000,20400000,0.51,2005,125,7.7,2082,Kabeer Kaushik,Arshad Warsi,Pankaj Kapur,Mahima Chaudhry
Indu Sarkar,Normal,No,No,drama,No,No,No,Kirti Kulhari,Madhur Bhandarkar,Anu Malik,875,120000000,60700000,0.5058333333,2017,139,6,1446,Madhur Bhandarkar,Kirti Kulhari,Tota Roy Chowdhury,Neil Nitin Mukesh
Aiyyaa,Normal,No,No,comedy,No,Yes,No,Rani Mukherjee,Sachin Kundalkar,Amit Trivedi,900,190000000,95850000,0.5044736842,2012,152,4.4,1765,Sachin Kundalkar,Rani Mukerji,Prithviraj Sukumaran,Nirmiti Sawant
Tezz,Normal,Yes,No,thriller,No,No,No,Ajay Devgn,Priyadarshan,Sajid - Wajid,1950,520000000,261237500,0.5023798077,2012,121,3.9,2254,Priyadarshan,Anil Kapoor,Ajay Devgn,Mohanlal
Parched,Normal,No,No,drama,No,No,No,Radhika Apte,Leena Yadav,Hitesh Sonik,275,240000000,120300000,0.50125,2015,116,7.6,4954,Leena Yadav,Tannishtha Chatterjee,Radhika Apte,Surveen Chawla
Bhoomi,Normal,No,No,drama,No,No,No,Sanjay Dutt,Omung Kumar,Sachin - Jigar,2000,310000000,153775000,0.4960483871,2017,136,5.3,1755,Omung Kumar,Sharad Kelkar,Sunny Leone,Aditi Rao Hydari
Noor,Normal,No,No,drama,No,No,Yes,Sonakshi Sinha,Sunhil Sippy,Baadshah,1450,240000000,118452500,0.4935520833,2017,117,3.9,1432,Sunhil Sippy,Sunny Leone,Sonakshi Sinha,Chlo� Booyens
Dasvidaniya,Normal,No,No,comedy,No,Yes,Yes,Vinay Pathak,Shashant Shah,Kailash Kher,150,40000000,19700000,0.4925,2008,113,7.8,6140,Shashant Shah,Vinay Pathak,Sarita Joshi,Rajat Kapoor
Darr @ The Mall,Holiday,No,No,horror,No,No,No,Jimmy Shergill,Pawan Kirpalani,Shankar - Ehsaan - Loy,1200,160000000,78400000,0.49,2014,124,4.9,936,Pawan Kripalani,Jimmy Sheirgill,Nushrat Bharucha,Arif Zakaria
Contract,Normal,No,No,thriller,Yes,No,No,Adhvik Mahajan,Ram Gopal Verma,Amar Mohile,350,75000000,36400000,0.4853333333,2008,117,4,230,Ram Gopal Varma,Adhvik Mahajan,Sakshi Gulati,Amruta Khanvilkar
C Kkompany,Normal,No,No,comedy,No,Yes,No,Tusshar Kapoor,Sachin Yardi,Bappa Lahiri,500,100000000,48300000,0.483,2008,127,5.4,1037,Sachin Yardi,Tusshar Kapoor,Anupam Kher,Rajpal Yadav
Guddu Rangeela,Normal,No,No,drama,No,No,No,Arshad Warsi,Subhash Kapoor,Amit Trivedi,975,200000000,96025000,0.480125,2015,124,5.3,864,Subhash Kapoor,Arshad Warsi,Amit Sadh,Ronit Roy
Welcome 2 Karachi,Normal,No,No,comedy,No,No,No,Arshad Warsi,Ashish R. Mohan,Rochak Kohli,1350,290000000,135362500,0.4667672414,2015,131,4.3,1123,Ashish R. Mohan,Arshad Warsi,Jackky Bhagnani,Lauren Gottlieb
No Smoking,Holiday,No,No,drama,No,Yes,No,John Abraham,Anurag Kashyap,Vishal Bhardwaj,225,75000000,34930000,0.4657333333,2007,128,7.3,6928,Anurag Kashyap,John Abraham,Ayesha Takia,Paresh Rawal
Second Hand Husband,Normal,No,No,comedy,No,Yes,Yes,Dharmendra,Smeep Kang,Jatinder Shah,525,110000000,51050000,0.4640909091,2015,105,3.8,156,Smeep Kang,Dharmendra,Sanjay Mishra,Vijay Raaz
Love Story 2050,Holiday,No,No,fantasy,Yes,No,No,Harman Baweja,Harry Baweja,Anu Malik,900,400000000,184737500,0.46184375,2008,180,2.6,2334,Harry Baweja,Harman Baweja,Priyanka Chopra Jonas,Boman Irani
Shaadi Karke Phas Gaya Yaar,Normal,No,No,rom__com,No,No,No,Salman Khan,K.S. Adhiyaman,Sajid - Wajid,200,110000000,50250000,0.4568181818,2006,152,4.1,1143,K.S. Adiyaman,Salman Khan,Shilpa Shetty Kundra,Reema Lagoo
Naksha,Normal,No,No,action,No,Yes,No,Vivek Oberoi,Sachin Bajaj,Pritam,425,220000000,99250000,0.4511363636,2006,128,3.3,1074,Sachin Bajaj,Sunny Deol,Vivek Oberoi,Sameera Reddy
Pizza,Normal,No,No,suspense,No,Yes,No,Akshay Oberoi,Akshay Akkineni,Shamir Tandon,600,100000000,44800000,0.448,2014,107,6.2,1147,Akshay Akkineni,Akshay Oberoi,Parvathy Omanakuttan,Arunoday Singh
Baabarr,Normal,No,No,action,No,No,No,Mithun Chakraborty,Ashu Trikha,Anand Raj Anand,350,45000000,19786000,0.4396888889,2009,180,5.1,302,Ashu Trikha,Mithun Chakraborty,Om Puri,Sohum Shah
Revolver Rani,Normal,No,No,drama,No,Yes,No,Kangana Ranaut,Sai Kabir,Sanjeev Srivastava,1600,270000000,118700000,0.4396296296,2014,132,4.5,1678,Sai Kabir,Kangana Ranaut,Vir Das,Zakir Hussain
Mashooka,Normal,No,No,drama,No,No,No,Meghna Naidu,Afzal Ahmed,Sajid - Wajid,35,15000000,6543500,0.4362333333,2005,107,5.3,30,Afzal Ahmad,Aditya Bal,Meghna Naidu,Vidya Malvade
Love Games,Holiday,No,No,thriller,No,No,No,Patralekha,Vikram Bhatt,Sangeet - Siddharth,1100,100000000,43380000,0.4338,2016,114,4.3,873,Vikram Bhatt,Patralekhaa Paul,Tara-Alisha Berry,Gaurav Arora
Junooniyat,Normal,No,No,love_story,No,No,No,Pulkit Samrat,Vivek Agnihotri,Meet Bros,800,120000000,51300000,0.4275,2016,155,4.2,708,Vivek Agnihotri,Pulkit Samrat,Yami Gautam,Gulshan Devaiah
Tum Bin 2,Normal,No,Yes,love_story,No,No,No,Neha Sharma,Anubhav Sinha,Ankit Tiwari,1050,160000000,67968750,0.4248046875,2016,147,4.8,1187,Anubhav Sinha,Peter Pedrero,Neha Sharma,Aditya Seal
Time Pass,Normal,No,No,comedy,No,Yes,No,Arjun Punj,Chander Mishra,Sunil Jha,45,12500000,5300000,0.424,2005,88,4.1,35,Chander Mishra,Sherlyn Chopra,Tanaaz Currim Irani,Adi Irani
Teen Patti,Holiday,No,No,thriller,No,No,No,Amitabh Bachchan,Leena Yadav,Salim - Sulaiman,575,180000000,76300000,0.4238888889,2010,140,4.1,1457,Leena Yadav,Amitabh Bachchan,Madhavan,Shraddha Kapoor
Rangrezz,Normal,No,No,drama,No,No,No,Jacky Bhagnani,Priyadarshan,Sajid - Wajid,1150,230000000,97181250,0.4225271739,2013,144,5.1,426,Priyadarshan,Jackky Bhagnani,Priya Anand,Rajpal Yadav
Kuchh Meetha Ho Jaye,Holiday,No,No,rom__com,No,Yes,No,Arshad Warsi,Samar Khan,Himesh Reshammiya,90,40000000,16662500,0.4165625,2005,125,3.4,278,Samar Khan,Arshad Warsi,Mahima Chaudhry,Parvin Dabas
Firangi,Holiday,No,No,drama,No,Yes,No,Kapil Sharma,Rajeev Dhingra,Jatinder Shah,1550,400000000,166040000,0.4151,2017,158,4.4,1081,Rajiv Dhingra,Kapil Sharma,Ishita Dutta,Monica Gill
Phhir,Holiday,No,No,suspense,No,Yes,No,Rajneesh Duggal,Girish Dhamija,Raghav Sachar,550,60000000,24800000,0.4133333333,2011,100,5,186,Girish Dhamija,Rajniesh Duggall,Roshni Chopra,Monica
Rock On 2,Holiday,No,Yes,drama,No,Yes,No,Farhan Akhtar,Shujaat Saudagar,Shankar - Ehsaan - Loy,1450,450000000,177600000,0.3946666667,2016,143,5,2006,Shujaat Saudagar,Farhan Akhtar,Shraddha Kapoor,Arjun Rampal
Men Not Allowed,Normal,No,No,drama,Yes,No,Yes,Nassar Abdulla,Shrey Srivastava,Sanjeev Srivastava,18,8500000,3350000,0.3941176471,2006,115,3.6,38,Shrey Srivastava,Payal Rohatgi,Tina Mazumdar,Nassar Abdulla
Kal Kissne Dekha,Normal,No,No,comedy,No,No,No,Riteish Deshmukh,Vivek Sharma,Sajid - Wajid,475,210000000,82520000,0.392952381,2009,134,3.6,435,Vivek Sharma,Jackky Bhagnani,Nushrat Bharucha,David Bueno
Topless,Normal,No,No,adult,Yes,No,No,K.Gauri,Nabh Kumar Raju,Bappi Lahiri,30,12500000,4900000,0.392,2005,112,2.6,11,Nabh Kumar 'Raju',K. Gauri,Tarun Khanna,Shweta Menon
Chain Kulii Ki Main Kulii,Normal,No,No,comedy,No,Yes,No,Rahul Bose,Kittu Saluja,Salim - Sulaiman,130,40000000,15600000,0.39,2007,118,5.6,1214,Karanjeet Saluja,Zain Khan,Rahul Bose,Kapil Dev
Julie 2,Holiday,No,Yes,thriller,Yes,No,Yes,Raai Laxmi,Deepak Shivdasani,Atif Ali,1000,85000000,33100000,0.3894117647,2017,159,2.3,311,Deepak S. Shivdasani,Nishikant Kamat,Raai Laxmi,Rati Agnihotri
Bombay To Bangkok,Normal,No,No,comedy,No,No,No,Shreyas Talpade,Nagesh Kukunoor,Salim - Sulaiman,175,70000000,27200000,0.3885714286,2008,120,4.6,417,Nagesh Kukunoor,Shreyas Talpade,Lena Christensen,Vijay Maurya
Help,Holiday,No,No,horror,No,No,No,Bobby Deol,Rajeev Virani,Gourov Dasgupta,575,80000000,30900000,0.38625,2010,109,4.3,358,Rajeev Virani,Bobby Deol,Mugdha Godse,Shreyas Talpade
Chaalis Chauraasi,Holiday,No,No,drama,No,No,No,Naseeruddin Shah,Hriday Shetty,Lalit Pandit,500,92500000,35700000,0.3859459459,2012,120,6.1,474,Hriday Shetty,Naseeruddin Shah,Kay Kay Menon,Atul Kulkarni
Namkeen,Normal,No,No,adult,No,No,No,Rajesh Sabharwal,Priyanka,Prashant Kumar,1,1500000,575000,0.3833333333,1982,112,7.6,420,Gulzar,Sanjeev Kumar,Sharmila Tagore,Shabana Azmi
I Am,Holiday,No,No,drama,No,No,No,Juhi Chawla,Onir,Vivek Philip,75,17500000,6700000,0.3828571429,2010,95,6.8,948,Onir,Juhi Chawla,Rahul Bose,Radhika Apte
Naughty Boy,Normal,No,No,comedy,No,No,No,Rahul Roy,T.L.V. Prasad,Arun Daga,70,17500000,6700000,0.3828571429,1962,128,5.4,346,Shakti Samanta,Kishore Kumar,Om Prakash,Madan Puri
Dil Diya Hai,Normal,No,No,thriller,No,No,No,Emraan Hashmi,Aaditya Datt,Himesh Reshammiya,225,85000000,32500000,0.3823529412,2006,121,3.5,473,Aditya Datt,Emraan Hashmi,Ashmit Patel,Geeta Basra
Hum Tum Aur Ghost,Normal,No,No,fantasy,No,No,No,Arshad Warsi,Kabeer Kaushik,Shankar - Ehsaan - Loy,450,210000000,80100000,0.3814285714,2010,125,4.7,673,Kabeer Kaushik,Arshad Warsi,Dia Mirza,Boman Irani
Shringaar,Normal,No,No,adult,No,Yes,Yes,Kumaar Aadarsh,Kumaar Aadarsh,Aditya Shankar,20,4000000,1525000,0.38125,2013,126,5,7,Kumaar Aadarsh,Kumaar Aadarsh,Sahil Khan,Khushi Mukherjee
Always Kabhi Kabhi,Normal,No,No,drama,Yes,Yes,No,Ali Fazal,Roshan Abbas,Pritam,450,110000000,41800000,0.38,2011,126,4,1295,Roshan Abbas,Lillete Dubey,Satyajeet Dubey,Ali Fazal
Kshay,Normal,No,No,drama,Yes,Yes,Yes,Rasika Dugal,Karan Gour,Karan Gour,10,1500000,570000,0.38,2011,92,6.7,302,Karan Gour,Rasika Dugal,Alekh Sangal,Sudhir Pednekar
Game,Holiday,Yes,No,thriller,No,Yes,No,Abhishek Bachchan,Abhinay Deo,Shankar - Ehsaan - Loy,1100,340000000,128792500,0.3788014706,2011,135,5.2,2175,Abhinay Deo,Abhishek Bachchan,Kangana Ranaut,Anupam Kher
Game,Holiday,Yes,No,thriller,No,Yes,No,Abhishek Bachchan,Abhinay Deo,Shankar - Ehsaan - Loy,1100,340000000,128792500,0.3788014706,2011,135,5.2,2175,Abhinay Deo,Abhishek Bachchan,Kangana Ranaut,Anupam Kher
Hijack,Normal,No,No,action,No,Yes,Yes,Shiney Ahuja,Kunal Shivdasani,Justin - Uday,375,90000000,34050000,0.3783333333,2008,117,3.7,312,Kunal Shivdasani,Shiney Ahuja,Mona Ambegaonkar,Ishita Chauhan
Chingaari,Holiday,No,No,drama,No,No,No,Sushmita Sen,Kalpana Lajmi,Aadesh Shrivastava,150,50000000,18900000,0.378,2006,155,4.6,189,Kalpana Lajmi,Sushmita Sen,Mithun Chakraborty,Anuj Sawhney
Aatma,Normal,No,No,horror,No,No,No,Bipasha Basu,Deepak Ramsay,Anu Malik,70,25000000,9400000,0.376,2013,100,3.8,623,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola
Aatma,Normal,No,No,horror,No,No,No,Bipasha Basu,Deepak Ramsay,Anu Malik,70,25000000,9400000,0.376,2013,100,3.8,623,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola
Go,Normal,No,No,drama,Yes,No,Yes,Gautam Gupta,Manish Shrivastava,Sneha Khanwalkar,210,55000000,20600000,0.3745454545,2007,110,2.7,144,Manish Srivastav,Gautam Gupta,Priyanka Kothari,Kay Kay Menon
Padmashree Laloo Prasad Yadav,Normal,No,No,comedy,No,No,No,Suneil Shetty,Mahesh Manjrekar,Nitin Raikwar,150,65000000,24283000,0.3735846154,2005,162,2.4,185,Mahesh Manjrekar,Sunil Shetty,Masumeh Makhija,Mahesh Manjrekar
Do Lafzon Ki Kahani,Normal,No,No,love_story,No,No,No,Randeep Hooda,Deepak Tijori,Dr. Zeus,600,110000000,40900000,0.3718181818,2016,128,6.5,1411,Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda
Zanjeer,Holiday,Yes,No,action,Yes,No,No,Ram Charan,Apoorva Lakhia,Anand Raj Anand,2050,600000000,221475000,0.369125,2013,137,3.2,2416,Apoorva Lakhia,Ram Charan,Priyanka Chopra Jonas,Sanjay Dutt
Bombay Velvet,Normal,No,No,drama,No,No,No,Ranbir Kapoor,Anurag Kashyap,Amit Trivedi,2550,1180000000,431365000,0.3655635593,2015,149,5.6,5685,Anurag Kashyap,Ranbir Kapoor,Anushka Sharma,Karan Johar
Masti Express,Holiday,No,No,drama,No,Yes,Yes,Rajpal Yadav,Vikram Pradhan,Chinar-Mahesh,125,22500000,8200000,0.3644444444,2011,103,5.1,91,Vikram Pradhan,Rajpal Yadav,Johnny Lever,Divya Dutta
Red Swastik,Normal,No,No,thriller,No,No,No,Sherlyn Chopra,Vinod Pande,Shamir Tandon,50,22500000,8200000,0.3644444444,2007,131,2.8,219,Vinod Pande,Sherlyn Chopra,Harsh Chhaya,Deepshikha Nagpal
Superstar,Holiday,No,No,drama,No,Yes,No,Kunal Khemu,Rohit Jugraj,Shamir Tandon,375,90000000,31900000,0.3544444444,2008,120,6,707,Rohit Jugraj,Kunal Khemu,Tulip Joshi,Aushima Sawhney
Mr. White Mr. Black,Normal,No,No,comedy,No,No,No,Suneil Shetty,Deepak Shivdasani,Jatin - Lalit,450,110000000,38900000,0.3536363636,2008,130,3.3,194,Deepak S. Shivdasani,Sunil Shetty,Arshad Warsi,Sadashiv Amrapurkar
Parzania,Holiday,No,No,drama,No,No,No,Naseeruddin Shah,Rahul Dholakia,Zakir Hussain,35,30000000,10600000,0.3533333333,2005,116,7.6,1379,Rahul Dholakia,Naseeruddin Shah,Corin Nemec,Sarika
Ajab Gazabb Love,Holiday,No,No,comedy,No,No,No,Jacky Bhagnani,Sanjay Gadhvi,Sajid - Wajid,850,290000000,102090000,0.3520344828,2012,116,4.2,520,Sanjay Gadhvi,Jackky Bhagnani,Nidhi Subbaiah,Darshan Jariwala
Pyaar Mein Twist,Normal,No,No,rom__com,No,No,No,Rishi Kapoor,Hriday Shetty,Jatin - Lalit,80,37500000,13200000,0.352,2005,123,6.1,185,Hriday Shetty,Rishi Kapoor,Dimple Kapadia,Vikas Bhalla
Sankat City,Normal,No,No,comedy,No,Yes,No,Kay Kay Menon,Pankaj Advani,Ranjit Barot,100,32500000,11400000,0.3507692308,2009,120,6.2,609,Pankaj Advani,Kay Kay Menon,Rimi Sen,Anupam Kher
Chand Sa Roshan Chehra,Holiday,No,No,love_story,Yes,Yes,No,Samir Aftab,Shahab Shamsi,Jatin - Lalit,60,15000000,5252500,0.3501666667,2005,120,4.7,54,Shahab Shamsi,Samir Aftab,Talat Aziz,Tamannaah Bhatia
I Don't Luv U,Normal,No,No,love_story,No,Yes,Yes,Ruslan Mumtaz,Amit Kasaria,Amit Kasaria,200,20000000,7000000,0.35,2013,120,6,25,Amit Kasaria,Jass Bhatia,Ruslaan Mumtaz,Chetna Pande
