Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Ghajini,Holiday,Yes,No,action,No,Yes,No,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,520000000,1945820000,3.741961538,2008,186,7.3,57604,A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan
Dhoom 2,Holiday,No,Yes,action,No,No,No,Hrithik Roshan,Sanjay Gadhvi,Pritam,1000,420000000,1513890000,3.6045,2006,152,6.5,24610,Sanjay Gadhvi,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan
Partner,Normal,Yes,No,comedy,No,No,No,Salman Khan,David Dhawan,Sajid - Wajid,1100,280000000,1009115000,3.603982143,2007,155,5.8,11787,David Dhawan,Salman Khan,Govinda,Lara Dutta
Fanaa,Normal,No,No,love_story,No,No,No,Aamir Khan,Kunal Kohli,Jatin - Lalit,650,300000000,1054800000,3.516,2006,168,7.2,31437,Kunal Kohli,Aamir Khan,Kajol,Rishi Kapoor
Rang De Basanti,Holiday,No,No,drama,No,No,No,Aamir Khan,Rakesh Omprakash Mehra,A.R. Rehman,600,280000000,979080000,3.496714286,2006,167,8.1,114446,Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth
Barfi!,Normal,No,No,drama,No,No,No,Ranbir Kapoor,Anurag Basu,Pritam,1250,500000000,1747380000,3.49476,2012,151,8.1,77377,Anurag Basu,Ranbir Kapoor,Priyanka Chopra Jonas,Ileana D'Cruz
Singham,Normal,Yes,No,action,No,No,No,Ajay Devgn,Rohit Shetty,Ajay - Atul,2050,410000000,1413035000,3.446426829,2019,141,5.5,96,Navaniat Singh,Priyanka Arya,Sonam Bajwa,Kartar Cheema
Chennai Express,Holiday,No,No,masala,No,No,Yes,Shahrukh Khan,Rohit Shetty,Honey Singh,3600,1150000000,3959242500,3.442819565,2013,141,6,50307,Rohit Shetty,Deepika Padukone,Shah Rukh Khan,Sathyaraj
Baaghi,Holiday,No,No,action,No,No,No,Tiger Shroff,Sabbir Khan,Ankit Tiwari,2750,370000000,1269662500,3.43152027,2016,133,5.2,7912,Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani
Jab We Met,Holiday,No,No,rom__com,No,No,No,Shahid Kapoor,Imtiaz Ali,Pritam,475,150000000,509380000,3.395866667,2007,138,7.9,49012,Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora
Golmaal 3,Holiday,No,Yes,comedy,No,No,No,Ajay Devgn,Rohit Shetty,Pritam,1750,500000000,1695635000,3.39127,2010,155,5.5,7644,Rohit Shetty,Mithun Chakraborty,Ajay Devgn,Kareena Kapoor
Humpty Sharma Ki Dulhania,Normal,No,No,rom__com,No,Yes,No,Varun Dhawan,Shashank Khaitan,Sachin - Jigar,1950,330000000,1107600000,3.356363636,2014,133,6,11840,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Ashutosh Rana
Ek Tha Tiger,Holiday,No,No,action,No,No,No,Salman Khan,Kabir Khan,Sajid - Wajid,3200,920000000,3083150000,3.35125,2012,132,5.5,31627,Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad
Bodyguard,Holiday,Yes,No,action,No,Yes,No,Salman Khan,Siddique,Himesh Reshammiya,2750,700000000,2343900000,3.348428571,2011,130,4.7,23602,Siddique,Salman Khan,Kareena Kapoor,Raj Babbar
Peepli [Live],Holiday,No,No,drama,Yes,Yes,No,Omkar Das Manikpuri,Anusha Rizvi,Ram Sampath,825,140000000,468525000,3.346607143,2010,95,7.4,11954,Anusha Rizvi,Mahmood Farooqui,Omkar Das Manikpuri,Raghuvir Yadav
Ragini MMS 2,Normal,No,Yes,horror,No,No,No,Sunny Leone,Bhushan Patel,Chirantan Bhatt,2300,190000000,632945000,3.331289474,2014,119,3.8,2740,Bhushan Patel,Sunny Leone,Saahil Prem,Parvin Dabas
Ishaqzaade,Normal,No,No,love_story,Yes,No,No,Arjun Kapoor,Habib Faisal,Amit Trivedi,1100,190000000,630500000,3.318421053,2012,120,6.5,7145,Habib Faisal,Arjun Kapoor,Parineeti Chopra,Gauahar Khan
Judwaa 2,Holiday,No,Yes,masala,No,No,No,Varun Dhawan,David Dhawan,Sajid - Wajid,3500,630000000,2066477500,3.280123016,2017,145,3.6,9622,David Dhawan,Varun Dhawan,Jacqueline Fernandez,Taapsee Pannu
Bluffmaster,Normal,No,No,thriller,No,No,No,Abhishek Bachchan,Rohan Sippy,Vishal - Shekhar,350,100000000,327100000,3.271,2005,137,6.6,5950,Rohan Sippy,Abhishek Bachchan,Priyanka Chopra Jonas,Riteish Deshmukh
I Hate Luv Storys,Normal,No,No,love_story,No,Yes,Yes,Imran Khan,Punit Malhotra,Vishal - Shekhar,1050,230000000,739957500,3.217206522,2010,129,5.6,7675,Punit Malhotra,Imran Khan,Sonam Kapoor,Sammir Dattani
Garam Masala,Holiday,Yes,No,comedy,No,No,No,Akshay Kumar,Priyadarshan,Pritam,550,170000000,546517500,3.214808824,2005,146,6.7,14431,Priyadarshan,Akshay Kumar,John Abraham,Paresh Rawal
Jolly LLB,Normal,No,No,comedy,No,No,No,Arshad Warsi,Subhash Kapoor,Krsna,875,135000000,432900000,3.206666667,2013,135,7.5,18466,Subhash Kapoor,Arshad Warsi,Amrita Rao,Boman Irani
Kyaa Super Kool Hain Hum,Normal,No,Yes,comedy,No,No,No,Tusshar Kapoor,Sachin Yardi,Sachin - Jigar,1400,190000000,607725000,3.198552632,2012,136,4.9,3748,Sachin Yardi,Anupam Kher,Neha Sharma,Riteish Deshmukh
Krrish,Normal,No,No,action,No,No,No,Hrithik Roshan,Rakesh Roshan,Rajesh Roshan,950,400000000,1265587500,3.16396875,2006,154,6.4,19091,Rakesh Roshan,Hrithik Roshan,Priyanka Chopra Jonas,Rekha
Jannat 2,Holiday,No,Yes,thriller,No,No,No,Emraan Hashmi,Kunal Deshmukh,Pritam,2050,200000000,630910000,3.15455,2012,150,6.2,5333,Kunal Deshmukh,Emraan Hashmi,Randeep Hooda,Esha Gupta
Hate Story 3,Normal,No,Yes,thriller,No,No,Yes,Zarine Khan,Vishal Pandya,Baman,2600,200000000,622125000,3.110625,2015,126,4.5,3047,Vishal Pandya,Sharman Joshi,Karan Singh Grover,Zareen Khan
Bhaag Milkha Bhaag,Normal,No,No,drama,No,No,No,Farhan Akhtar,Rakesh Omprakash Mehra,Shankar - Ehsaan - Loy,1650,530000000,1637800000,3.090188679,2013,186,8.2,62636,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra
No Entry,Holiday,No,No,comedy,No,No,No,Anil Kapoor,Anees Bazmee,Anu Malik,600,240000000,741350000,3.088958333,2005,158,6.6,11195,Anees Bazmee,Anil Kapoor,Fardeen Khan,Salman Khan
Lipstick Under My Burkha,Normal,No,No,drama,No,No,Yes,Konkona Sen Sharma,Alankrita Shrivastava,Zubunnisa Bangash,500,70000000,215600000,3.08,2016,117,6.8,6373,Alankrita Shrivastava,Aahana Kumra,Ratna Pathak Shah,Konkona Sen Sharma
Krrish 3,Holiday,No,Yes,action,No,No,No,Hrithik Roshan,Rakesh Roshan,Rajesh Roshan,3500,950000000,2915240000,3.068673684,2013,152,5.2,21272,Rakesh Roshan,Hrithik Roshan,Vivek Oberoi,Priyanka Chopra Jonas
Phoonk,Holiday,No,No,horror,Yes,No,No,Sudeep,Ram Gopal Verma,Bappi - Tutal,400,45000000,136200000,3.026666667,2008,110,3.9,1265,Ram Gopal Varma,Sudeep,Amruta Khanvilkar,Ahsaas Channa
English Vinglish,Normal,No,No,drama,No,Yes,No,Sridevi,Gauri Shinde,Amit Trivedi,700,260000000,785625000,3.021634615,2012,134,7.8,34289,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou
Page 3,Holiday,No,No,drama,Yes,No,Yes,Konkona Sen Sharma,Madhur Bhandarkar,Shamir Tandon,50,42500000,128393750,3.021029412,2005,139,7.3,6712,Madhur Bhandarkar,Konkona Sen Sharma,Atul Kulkarni,Sandhya Mridul
Dear Zindagi,Normal,No,No,drama,No,No,Yes,Alia Bhatt,Gauri Shinde,Amit Trivedi,1150,460000000,1389137500,3.01986413,2016,151,7.5,37149,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor
Ready,Normal,Yes,No,comedy,No,No,No,Salman Khan,Anees Bazmee,Pritam,2300,610000000,1833987500,3.006536885,2011,145,4.8,16937,Anees Bazmee,Salman Khan,Asin Thottumkal,Paresh Rawal
Shuddh Desi Romance,Holiday,No,No,rom__com,Yes,No,No,Sushant Singh Rajput,Maneesh Sharma,Sachin - Jigar,1050,250000000,751180000,3.00472,2013,141,6,8447,Maneesh Sharma,Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor
Dhoom 3,Normal,No,Yes,action,No,No,No,Aamir Khan,Vijay Krishna Acharya,Pritam,3650,1750000000,5243760000,2.996434286,2013,172,5.4,43831,Vijay Krishna Acharya,Aamir Khan,Katrina Kaif,Abhishek Bachchan
Dabangg 2,Holiday,No,Yes,action,No,Yes,No,Salman Khan,Arbaaz Khan,Sajid - Wajid,3400,840000000,2492350000,2.967083333,2012,120,4.8,16920,Arbaaz Khan,Salman Khan,Sonakshi Sinha,Prakash Raj
Dum Laga Ke Haisha,Normal,No,No,comedy,No,No,No,Ayushman Khurana,Sharat Katariya,Anu Malik,775,140000000,414537500,2.960982143,2015,110,7.5,18540,Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra
Mere Brother Ki Dulhan,Holiday,No,No,rom__com,No,Yes,No,Imran Khan,Ali Abbas Zafar,Sohail Sen,1650,320000000,938420000,2.9325625,2011,139,5.8,8946,Ali Abbas Zafar,Imran Khan,Katrina Kaif,Ali Zafar
Cheeni Kum,Normal,No,No,rom__com,No,Yes,No,Amitabh Bachchan,R. Balki,Ilaiyaraja,250,110000000,322200000,2.929090909,2007,140,6.8,4997,R. Balki,Amitabh Bachchan,Tabu,Paresh Rawal
Heropanti,Normal,Yes,No,action,Yes,No,Yes,Tiger Shroff,Sabbir Khan,Mustafa Zahid,2200,250000000,726075000,2.9043,2014,146,5.3,8372,Sabir Khan,Tiger Shroff,Kriti Sanon,Parthaa Akerkar
Paan Singh Tomar,Normal,No,No,drama,No,No,No,Irrfan Khan,Tigmanshu Dhulia,Abhishek Ray,300,70000000,201800000,2.882857143,2012,135,8.2,34161,Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay
Ki & Ka,Normal,No,No,rom__com,No,No,No,Kareena Kapoor,R. Balki,Mithoon,1600,350000000,993000000,2.837142857,2016,126,5.8,5407,R. Balki,Amitabh Bachchan,Arjun Kapoor,Kareena Kapoor
Sarkar,Normal,No,No,drama,No,No,No,Amitabh Bachchan,Ram Gopal Verma,Bappi - Tutal,425,140000000,393047500,2.807482143,2005,124,7.6,16038,Ram Gopal Varma,Amitabh Bachchan,Abhishek Bachchan,Kay Kay Menon
New York,Normal,No,No,thriller,No,No,No,John Abraham,Kabir Khan,Pritam,1200,280000000,783367500,2.797741071,2009,153,6.8,10553,Kabir Khan,John Abraham,Katrina Kaif,Neil Nitin Mukesh
Talvar,Holiday,No,No,drama,No,No,No,Irrfan Khan,Meghna Gulzar,Vishal Bhardwaj,675,170000000,471780000,2.775176471,2015,132,8.2,32313,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi
Agneepath,Holiday,Yes,No,action,No,Yes,No,Hrithik Roshan,Karan Malhotra,Ajay - Atul,2600,710000000,1943275000,2.737007042,2012,174,6.9,22895,Karan Malhotra,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt
Secret Superstar,Holiday,No,No,drama,Yes,Yes,No,Zaira Wasim,Advait Chandan,Amit Trivedi,1750,450000000,1225350000,2.723,2017,150,7.8,21923,Advait Chandan,Zaira Wasim,Meher Vij,Raj Arjun
Badlapur,Normal,No,No,thriller,No,No,No,Varun Dhawan,Sriram Raghavan,Sachin - Jigar,1700,290000000,789020000,2.720758621,2015,134,7.4,22324,Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam
Mardaani,Normal,No,No,thriller,No,No,No,Rani Mukherjee,Pradeep Sarkar,Salim - Sulaiman,1250,210000000,567190000,2.700904762,2014,113,7.3,11913,Pradeep Sarkar,Rani Mukerji,Tahir Raj Bhasin,Priyanka Sharma
Jab Tak Hai Jaan,Holiday,No,No,love_story,No,No,No,Shahrukh Khan,Yash Chopra,A.R. Rehman,2450,780000000,2102642500,2.695695513,2012,176,6.7,52231,Yash Chopra,Shah Rukh Khan,Katrina Kaif,Anushka Sharma
